ID,Заголовок,Цена,Время,Место,URL
1,Asic антмайнер S9i 14Th/s ID устройства axiq48mnuw,31960,3 дня назад,р-н Центральный,https://www.avito.ru//krasnodar/nastolnye_kompyutery/asic_antmayner_s9i_14ths_id_ustroystva_axiq48mnuw_1470304469
2,Asic антмайнер S9i 14.5Th/s ID устройства mmve69lq,30900,4 дня назад,р-н Центральный,https://www.avito.ru//krasnodar/nastolnye_kompyutery/asic_antmayner_s9i_14.5ths_id_ustroystva_mmve69lq_1612261426
3,Asic антмайнер S9i 14Th/s ID номер qmtl71qvcs,31960,3 дня назад,р-н Центральный,https://www.avito.ru//krasnodar/nastolnye_kompyutery/asic_antmayner_s9i_14ths_id_nomer_qmtl71qvcs_1015473566
4,Asic S9 13.5 THs,40000,3 дня назад,р-н Западный,https://www.avito.ru//krasnodar/tovary_dlya_kompyutera/asic_s9_13.5_ths_1377343449
5,Asic S9i 14.5Th/s партия jfbk23bgah,30900,4 дня назад,р-н Центральный,https://www.avito.ru//krasnodar/nastolnye_kompyutery/asic_s9i_14.5ths_partiya_jfbk23bgah_1618890010
6,Asic майнер S9i 14Th/s ID номер gdof21yszd,31960,6 дней назад,р-н Центральный,https://www.avito.ru//krasnodar/nastolnye_kompyutery/asic_mayner_s9i_14ths_id_nomer_gdof21yszd_1303341014
7,Asic miner m3 12TH,25000,4 дня назад,р-н Центральный,https://www.avito.ru//krasnodar/tovary_dlya_kompyutera/asic_miner_m3_12th_1581988022
8,Asic S9i 14Th/s партия poyc11hces,31960,5 дней назад,р-н Центральный,https://www.avito.ru//krasnodar/nastolnye_kompyutery/asic_s9i_14ths_partiya_poyc11hces_1589769343
9,"Asics Gel Kayano Trainer - Оригинал, Новые",3490,1 неделю назад,р-н Карасунский,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/asics_gel_kayano_trainer_-_original_novye_1439130632
10,Asic S9i 14.5Th/s ID номер iolx26zxqp,30900,6 дней назад,р-н Центральный,https://www.avito.ru//krasnodar/nastolnye_kompyutery/asic_s9i_14.5ths_id_nomer_iolx26zxqp_990429267
11,Asics Gel Kayano 25 42 размер,6000,1 неделю назад,р-н Центральный,https://www.avito.ru//krasnodar/sport_i_otdyh/asics_gel_kayano_25_42_razmer_1343486857
12,"Asic Bitmain AntMiner L3+, майнинг в наличии",49990,1 неделю назад,р-н Центральный,https://www.avito.ru//krasnodar/tovary_dlya_kompyutera/asic_bitmain_antminer_l3_mayning_v_nalichii_1131670727
13,Asic Bitmain AntMiner S9-14TH майнинг в наличии,79990,1 неделю назад,р-н Центральный,https://www.avito.ru//krasnodar/tovary_dlya_kompyutera/asic_bitmain_antminer_s9-14th_mayning_v_nalichii_1098395995
14,Asic майнер S9i 14.5Th/s ID устройства pwit55dkou,30900,1 неделю назад,р-н Центральный,https://www.avito.ru//krasnodar/nastolnye_kompyutery/asic_mayner_s9i_14.5ths_id_ustroystva_pwit55dkou_1005004836
15,Asic S9i 14.5Th/s серия kpvg50gtqq,30900,1 неделю назад,р-н Центральный,https://www.avito.ru//krasnodar/nastolnye_kompyutery/asic_s9i_14.5ths_seriya_kpvg50gtqq_935767578
16,Asic S9i 14Th/s серия dlac90sxgp,31960,1 неделю назад,р-н Центральный,https://www.avito.ru//krasnodar/nastolnye_kompyutery/asic_s9i_14ths_seriya_dlac90sxgp_1675562323
17,Asic антмайнер S9i 14Th/s ID устройства vnoc00avsy,31960,1 неделю назад,р-н Центральный,https://www.avito.ru//krasnodar/nastolnye_kompyutery/asic_antmayner_s9i_14ths_id_ustroystva_vnoc00avsy_1372237450
18,Asic S9i 14Th/s ID устройства mqyg47gour,31960,1 неделю назад,р-н Центральный,https://www.avito.ru//krasnodar/nastolnye_kompyutery/asic_s9i_14ths_id_ustroystva_mqyg47gour_1544052153
19,Asic S9i 14Th/s партия yafu23szsi,31960,1 неделю назад,р-н Центральный,https://www.avito.ru//krasnodar/nastolnye_kompyutery/asic_s9i_14ths_partiya_yafu23szsi_1342947189
20,Мужские кроссовки для волейбола Asics Gel-Task MT,3790,1 день назад,р-н Центральный,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/muzhskie_krossovki_dlya_voleybola_asics_gel-task_mt_1333327541
21,Кроссовки asics upcourt 2 для волейбола больших ра,3500,1 день назад,р-н Прикубанский,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/krossovki_asics_upcourt_2_dlya_voleybola_bolshih_ra_1410197418
22,Asics. Оригинал. Made in Italy. Размер Xl,500,1 неделю назад,р-н Прикубанский,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/asics._original._made_in_italy._razmer_xl_1187838047
23,Asic майнер S9i 14Th/s ID устройства rxvh00zzeu,31960,1 неделю назад,р-н Центральный,https://www.avito.ru//krasnodar/nastolnye_kompyutery/asic_mayner_s9i_14ths_id_ustroystva_rxvh00zzeu_1665637790
24,Кроссовки Asics,450,3 дня назад,р-н Карасунский,https://www.avito.ru//krasnodar/detskaya_odezhda_i_obuv/krossovki_asics_1694517472
25,Asic антмайнер S9i 14.5Th/s партия qexw84gzsr,30900,1 неделю назад,р-н Центральный,https://www.avito.ru//krasnodar/nastolnye_kompyutery/asic_antmayner_s9i_14.5ths_partiya_qexw84gzsr_1578703949
26,Asic S9i 14.5Th/s ID устройства uisb95uwys,30900,1 неделю назад,р-н Центральный,https://www.avito.ru//krasnodar/nastolnye_kompyutery/asic_s9i_14.5ths_id_ustroystva_uisb95uwys_1239703124
27,Мужские кроссовки Asics Gel Lyte V orange,1990,3 дня назад,р-н Карасунский,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/muzhskie_krossovki_asics_gel_lyte_v_orange_1509829209
28,Кроссовки Asics 43-44,2800,12 часов назад,р-н Прикубанский,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/krossovki_asics_43-44_1370484243
29,Кроссовки asics Gel Pulse 9,3300,3 дня назад,р-н Центральный,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/krossovki_asics_gel_pulse_9_1348969065
30,Asic майнер S9i 14Th/s партия icbe85iown,31960,1 неделю назад,р-н Центральный,https://www.avito.ru//krasnodar/nastolnye_kompyutery/asic_mayner_s9i_14ths_partiya_icbe85iown_1691918294
31,Кроссовки для тенниса Asics Gel-Resolution 7 Clay,3400,4 дня назад,р-н Центральный,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/krossovki_dlya_tennisa_asics_gel-resolution_7_clay_1127718296
32,Asic Innosilicon A9 ZMaster,248000,1 неделю назад,р-н Западный,https://www.avito.ru//krasnodar/nastolnye_kompyutery/asic_innosilicon_a9_zmaster_1235874077
33,Мужские кроссовки Asics Stormer 2,2950,4 дня назад,р-н Центральный,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/muzhskie_krossovki_asics_stormer_2_1434580394
34,Asic антмайнер S9i 14.5Th/s серия lezr69ywcc,30900,1 неделю назад,р-н Центральный,https://www.avito.ru//krasnodar/nastolnye_kompyutery/asic_antmayner_s9i_14.5ths_seriya_lezr69ywcc_1517692907
35,Лосины asics,400,1 день назад,р-н Западный,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/losiny_asics_1620732817
36,Мужские кроссовки Asics Gel Lyte V,1990,5 дней назад,р-н Карасунский,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/muzhskie_krossovki_asics_gel_lyte_v_1185258488
37,Asic майнер S9i 14.5Th/s серия wdoh88mnkg,30900,2 недели назад,р-н Центральный,https://www.avito.ru//krasnodar/nastolnye_kompyutery/asic_mayner_s9i_14.5ths_seriya_wdoh88mnkg_1659826775
38,Кроссовки asics,800,5 дней назад,р-н Центральный,https://www.avito.ru//krasnodar/detskaya_odezhda_i_obuv/krossovki_asics_1035291749
39,"Asic Bitman antminer S9-13,5TH/S",42000,1 неделю назад,р-н Центральный,https://www.avito.ru//krasnodar/tovary_dlya_kompyutera/asic_bitman_antminer_s9-135ths_1266781667
40,Asic Bitmain Antminer S9 Hydro (18Th),115000,1 неделю назад,р-н Центральный,https://www.avito.ru//krasnodar/tovary_dlya_kompyutera/asic_bitmain_antminer_s9_hydro_18th_1361694464
41,Asic bitmain antminer S9I 14 TH/S,46000,1 неделю назад,р-н Центральный,https://www.avito.ru//krasnodar/tovary_dlya_kompyutera/asic_bitmain_antminer_s9i_14_ths_1374078227
42,"Кроссовки asics новые размер 42,5",3990,3 дня назад,р-н Центральный,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/krossovki_asics_novye_razmer_425_1652518939
43,Мужские кроссовки Asics Gel Saga yellow,1990,6 дней назад,р-н Карасунский,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/muzhskie_krossovki_asics_gel_saga_yellow_1378265908
44,Кроссовки Asics Gel V фирменные,2150,3 дня назад,р-н Прикубанский,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/krossovki_asics_gel_v_firmennye_959004714
45,Asic антмайнер S9i 14Th/s ID номер ssij28uhrc,31960,1 неделю назад,р-н Центральный,https://www.avito.ru//krasnodar/nastolnye_kompyutery/asic_antmayner_s9i_14ths_id_nomer_ssij28uhrc_1606832823
46,Asic S9i 14.5Th/s ID устройства sdux01qalq,30900,2 недели назад,р-н Центральный,https://www.avito.ru//krasnodar/nastolnye_kompyutery/asic_s9i_14.5ths_id_ustroystva_sdux01qalq_991435721
47,Asic антмайнер S9i 14Th/s ID устройства jhjv49uxit,31960,2 недели назад,р-н Центральный,https://www.avito.ru//krasnodar/nastolnye_kompyutery/asic_antmayner_s9i_14ths_id_ustroystva_jhjv49uxit_1051967024
48,Женский спортивный костюм asics,4000,1 неделю назад,р-н Центральный,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/zhenskiy_sportivnyy_kostyum_asics_1285278734
49,Ветровка беговая Asics,2000,1 неделю назад,р-н Центральный,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/vetrovka_begovaya_asics_1351231637
50,Кроссовки беговые женские asics,2300,1 неделю назад,р-н Центральный,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/krossovki_begovye_zhenskie_asics_1691835211
51,Кроссовки asics 27 размер (состояние новых),850,1 неделю назад,р-н Центральный,https://www.avito.ru//krasnodar/detskaya_odezhda_i_obuv/krossovki_asics_27_razmer_sostoyanie_novyh_1562495667
52,Новые Asics Gel Kayano,3490,1 неделю назад,р-н Карасунский,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/novye_asics_gel_kayano_1330204664
53,Кроссовки Asics gel lyte v,3150,1 неделю назад,р-н Прикубанский,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/krossovki_asics_gel_lyte_v_1303162003
54,Asic S9i 14Th/s серия xnmx45nuta,31960,2 недели назад,р-н Центральный,https://www.avito.ru//krasnodar/nastolnye_kompyutery/asic_s9i_14ths_seriya_xnmx45nuta_1607789858
55,Асик Asic S9 Antminer Bitmain 13.5 Th/s Новый,54000,1 неделю назад,р-н Центральный,https://www.avito.ru//krasnodar/tovary_dlya_kompyutera/asik_asic_s9_antminer_bitmain_13.5_ths_novyy_1670006512
56,Asic S9i 14.5Th/s серия xpbs15nrvy,30900,2 недели назад,р-н Центральный,https://www.avito.ru//krasnodar/nastolnye_kompyutery/asic_s9i_14.5ths_seriya_xpbs15nrvy_1690422422
57,Борцовки красные asics,1900,5 дней назад,р-н Центральный,https://www.avito.ru//krasnodar/sport_i_otdyh/bortsovki_krasnye_asics_1402802801
58,Asic S9i 14Th/s ID номер ufve04pgco,31960,2 недели назад,р-н Центральный,https://www.avito.ru//krasnodar/nastolnye_kompyutery/asic_s9i_14ths_id_nomer_ufve04pgco_1687931085
59,Теннисное платье asics 146479 8065 athlete Y dress,1000,1 неделю назад,р-н Центральный,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/tennisnoe_plate_asics_146479_8065_athlete_y_dress_1538625111
60,"Кроссовки Asics, 39 размер",2500,1 неделю назад,р-н Прикубанский,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/krossovki_asics_39_razmer_1592591187
61,"Asics Tiger Gel Kayano Trainer - Оригинал, Новые",3490,2 недели назад,р-н Карасунский,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/asics_tiger_gel_kayano_trainer_-_original_novye_1232316897
62,Asics gel-cumulus 18 g-tx,5700,2 недели назад,р-н Прикубанский,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/asics_gel-cumulus_18_g-tx_1105681780
63,Блок питания Bitmain APW3++ asic майнинг,14990,1 неделю назад,р-н Центральный,https://www.avito.ru//krasnodar/tovary_dlya_kompyutera/blok_pitaniya_bitmain_apw3_asic_mayning_1060398094
64,Борцовки Asics,1400,1 неделю назад,р-н Центральный,https://www.avito.ru//krasnodar/sport_i_otdyh/bortsovki_asics_1193963168
65,Борцовская форма asics,1000,1 неделю назад,р-н Центральный,https://www.avito.ru//krasnodar/detskaya_odezhda_i_obuv/bortsovskaya_forma_asics_1117800651
66,Кроссовки Asics Gel Lyte III,4090,1 неделю назад,Район не указан,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/krossovki_asics_gel_lyte_iii_1197380341
67,Кроссовки беговые Asics GEL-pulse 9,3000,1 неделю назад,р-н Западный,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/krossovki_begovye_asics_gel-pulse_9_1196984001
68,"Asic bitmain antminer S9-13,5 TH/S Б/У",30000,2 недели назад,р-н Карасунский,https://www.avito.ru//krasnodar/tovary_dlya_kompyutera/asic_bitmain_antminer_s9-135_ths_bu_1594146702
69,"Куртка «asics» (новая), р/р S",3000,1 неделю назад,р-н Прикубанский,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/kurtka_asics_novaya_rr_s_1219600972
70,Сапожки Asics,1100,1 неделю назад,р-н Центральный,https://www.avito.ru//krasnodar/detskaya_odezhda_i_obuv/sapozhki_asics_930493087
71,Кроссовки asics,2890,1 неделю назад,р-н Карасунский,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/krossovki_asics_1508277064
72,Новые кроссы asics,2200,1 неделю назад,р-н Центральный,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/novye_krossy_asics_1459315887
73,Кроссовки Asics оригинал,500,1 неделю назад,р-н Центральный,https://www.avito.ru//krasnodar/detskaya_odezhda_i_obuv/krossovki_asics_original_1273457293
74,Кроссовки Asics Gel Lyte Five,3450,1 неделю назад,р-н Прикубанский,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/krossovki_asics_gel_lyte_five_1273380932
75,Кроссовки Asics Gel Lyte 5,2990,1 неделю назад,р-н Центральный,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/krossovki_asics_gel_lyte_5_1189343495
76,Кроссовки Asics GelSaga,3450,1 неделю назад,р-н Карасунский,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/krossovki_asics_gelsaga_1360425750
77,Кроссовки asics GEL lyte V (5) black sunset,3100,1 неделю назад,р-н Прикубанский,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/krossovki_asics_gel_lyte_v_5_black_sunset_1063443304
78,Кроссовки Asics Gel Sight,3450,1 неделю назад,р-н Прикубанский,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/krossovki_asics_gel_sight_1315216621
79,Кроссовки Asics gel-kayno Trainer white,3450,1 неделю назад,р-н Прикубанский,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/krossovki_asics_gel-kayno_trainer_white_1098490255
80,Antminer T9+ 10.5TH/S Bitmain asic в наличии,49990,1 неделю назад,р-н Центральный,https://www.avito.ru//krasnodar/tovary_dlya_kompyutera/antminer_t9_10.5ths_bitmain_asic_v_nalichii_1507245943
81,Asic Bitmain AntMiner A3-815GH/s продажа Bitcoin,79990,2 недели назад,р-н Центральный,https://www.avito.ru//krasnodar/tovary_dlya_kompyutera/asic_bitmain_antminer_a3-815ghs_prodazha_bitcoin_1129401627
82,Кроссовки asics (детские),1000,1 неделю назад,р-н Центральный,https://www.avito.ru//krasnodar/detskaya_odezhda_i_obuv/krossovki_asics_detskie_962863151
83,"Asic bitmain antminer S9-13,5 TH/S Б/У",39000,2 недели назад,р-н Центральный,https://www.avito.ru//krasnodar/tovary_dlya_kompyutera/asic_bitmain_antminer_s9-135_ths_bu_1554086521
84,Кроссовки Asics Gel Noosa Tri 11,5000,1 неделю назад,р-н Прикубанский,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/krossovki_asics_gel_noosa_tri_11_1321320440
85,Asics кроссовки новые,3000,2 недели назад,р-н Западный,https://www.avito.ru//krasnodar/detskaya_odezhda_i_obuv/asics_krossovki_novye_1625535448
86,Asic Bitmain Antminer D3 новый,49990,2 недели назад,р-н Центральный,https://www.avito.ru//krasnodar/tovary_dlya_kompyutera/asic_bitmain_antminer_d3_novyy_1105786575
87,Antminer s9 + s9i Новые. 14+14.5T. Асик. asic,39900,1 неделю назад,р-н Центральный,https://www.avito.ru//krasnodar/tovary_dlya_kompyutera/antminer_s9_s9i_novye._1414.5t._asik._asic_1212389717
88,Боксы для asic antminer s9,5000,1 неделю назад,р-н Западный,https://www.avito.ru//krasnodar/tovary_dlya_kompyutera/boksy_dlya_asic_antminer_s9_1273777555
89,Кроссовки беговые Asics GEL-quantum 360,4000,1 неделю назад,р-н Центральный,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/krossovki_begovye_asics_gel-quantum_360_1129394351
90,Asics,3990,3 недели назад,Район не указан,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/asics_1551384896
91,Asic Antminer Z9 mini,71000,3 недели назад,р-н Прикубанский,https://www.avito.ru//krasnodar/tovary_dlya_kompyutera/asic_antminer_z9_mini_1710306547
92,PSU Блок питания APW3++ для asic S9/D3/L3+ Наличие,8990,2 недели назад,р-н Центральный,https://www.avito.ru//krasnodar/tovary_dlya_kompyutera/psu_blok_pitaniya_apw3_dlya_asic_s9d3l3_nalichie_1174172238
93,"Борцовки Asics, трико борцовское подросток",1300,2 недели назад,р-н Прикубанский,https://www.avito.ru//krasnodar/sport_i_otdyh/bortsovki_asics_triko_bortsovskoe_podrostok_895525614
94,Asic Antminer Z9 для майнинга,239000,3 недели назад,р-н Прикубанский,https://www.avito.ru//krasnodar/tovary_dlya_kompyutera/asic_antminer_z9_dlya_mayninga_1581378861
95,Кроссовки asics gel kayano 23,6900,2 недели назад,р-н Карасунский,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/krossovki_asics_gel_kayano_23_1142437802
96,"Кроссовки asics новые 46,5 размер",4000,2 недели назад,р-н Карасунский,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/krossovki_asics_novye_465_razmer_701378416
97,Майка для бега Asics,600,2 недели назад,р-н Прикубанский,https://www.avito.ru//krasnodar/sport_i_otdyh/mayka_dlya_bega_asics_1014931775
98,"Сервисный центр Bitmain, ремонт Asic для майнинга",1000,2 недели назад,"
       (р-н Центральный)
    ",https://www.avito.ru//krasnodar/predlozheniya_uslug/servisnyy_tsentr_bitmain_remont_asic_dlya_mayninga_1149162406
99,Кроссовки asics новые,3400,2 недели назад,р-н Прикубанский,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/krossovki_asics_novye_1709105566
100,Bitmain Antminer E3 asic для Ethereum,129990,2 недели назад,р-н Западный,https://www.avito.ru//krasnodar/tovary_dlya_kompyutera/bitmain_antminer_e3_asic_dlya_ethereum_1518283009
101,Кроссовки asics,1600,2 недели назад,р-н Центральный,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/krossovki_asics_1103453700
102,Волейбольные кроссовки Asics Gel-Rocket 8,3550,2 недели назад,Район не указан,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/voleybolnye_krossovki_asics_gel-rocket_8_1116566180
103,Новые кроссовки asics onitsuka,4000,2 недели назад,Район не указан,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/novye_krossovki_asics_onitsuka_1326986223
104,Борцовки Asics Snapdown 2,5190,2 недели назад,р-н Карасунский,https://www.avito.ru//krasnodar/sport_i_otdyh/bortsovki_asics_snapdown_2_1564102977
105,Asics tiger р.30,2900,3 недели назад,р-н Прикубанский,https://www.avito.ru//krasnodar/detskaya_odezhda_i_obuv/asics_tiger_r.30_1196417633
106,Кроссовки asics,2500,2 недели назад,р-н Центральный,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/krossovki_asics_1652131124
107,Asics tiger Gel-Kayano Trainer Evo Black/Black,4990,3 недели назад,р-н Карасунский,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/asics_tiger_gel-kayano_trainer_evo_blackblack_1208833705
108,Кроссовки Asics gel lyte 5,3300,2 недели назад,р-н Прикубанский,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/krossovki_asics_gel_lyte_5_1071797073
109,Asics tiger Gel-Kayano Trainer Evo Black/Black,4990,3 недели назад,р-н Карасунский,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/asics_tiger_gel-kayano_trainer_evo_blackblack_1663799126
110,Кроссовки Asics Gel Kayano Trainer Knit white,4090,2 недели назад,Район не указан,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/krossovki_asics_gel_kayano_trainer_knit_white_1683546483
111,"Борцовки Asics JB Elite 3, размер 42,5",6190,2 недели назад,р-н Карасунский,https://www.avito.ru//krasnodar/sport_i_otdyh/bortsovki_asics_jb_elite_3_razmer_425_1497918925
112,Борцовки детские Asics Mattflex 5 GS 37 размер,2100,2 недели назад,р-н Карасунский,https://www.avito.ru//krasnodar/sport_i_otdyh/bortsovki_detskie_asics_mattflex_5_gs_37_razmer_1378479542
113,Куртка Asics,3500,2 недели назад,р-н Центральный,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/kurtka_asics_1658206830
114,"Asics tiger GEL-Kayano Trainer EVO ""Indigo Blue""",4990,3 недели назад,р-н Карасунский,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/asics_tiger_gel-kayano_trainer_evo_indigo_blue_1119410757
115,Кросовки шипованные asics,1700,2 недели назад,р-н Центральный,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/krosovki_shipovannye_asics_1022243802
116,Майнер для криптовалюты Asic BTC M3 11.5-12,150000,3 недели назад,Район не указан,https://www.avito.ru//krasnodar/nastolnye_kompyutery/mayner_dlya_kriptovalyuty_asic_btc_m3_11.5-12_1156223213
117,Кроссовки Asics,1500,2 недели назад,Район не указан,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/krossovki_asics_1622815330
118,Кеды asics,2500,2 недели назад,р-н Западный,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/kedy_asics_843369385
119,Шиповки asics cyberjump,2000,3 недели назад,р-н Прикубанский,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/shipovki_asics_cyberjump_1438290471
120,Шорты беговые asics,700,3 недели назад,р-н Центральный,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/shorty_begovye_asics_1164934314
