ID,Заголовок,Цена,Время,Место,URL
121,Asics Gel-Lyte V NS G-TX,6990,3 недели назад,р-н Карасунский,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/asics_gel-lyte_v_ns_g-tx_1193217957
122,"Asics Tiger Gel-Lyte III Leather "" Triple White """,6900,3 недели назад,р-н Карасунский,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/asics_tiger_gel-lyte_iii_leather_triple_white_1724667844
123,"Asics tiger Gel-Lyte III Leather "" Triple Black """,6900,3 недели назад,р-н Карасунский,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/asics_tiger_gel-lyte_iii_leather_triple_black_1416233971
124,Кроссовки Asics Kayano Trainer,3450,3 недели назад,р-н Центральный,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/krossovki_asics_kayano_trainer_1109123669
125,Кроссовки onitsuka tiger by asics,1500,3 недели назад,р-н Западный,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/krossovki_onitsuka_tiger_by_asics_1238259901
126,Asics Gel-lyte V Reef Waters/Birch,3490,3 недели назад,р-н Прикубанский,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/asics_gel-lyte_v_reef_watersbirch_1031724116
127,"Кроссовки женские asics GT-2110разм us 9 euro 40,5",3000,3 недели назад,р-н Западный,https://www.avito.ru//krasnodar/sport_i_otdyh/krossovki_zhenskie_asics_gt-2110razm_us_9_euro_405_1096703749
128,Плавки мужские asics slip rocco,1500,3 недели назад,р-н Центральный,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/plavki_muzhskie_asics_slip_rocco_416570540
129,"Трусы легкоатлетические asics Men""s TI Short 2014",2050,3 недели назад,р-н Центральный,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/trusy_legkoatleticheskie_asics_mens_ti_short_2014_340697041
130,Битмайн майнер S9i 14Th/s партия qrrs62sfqn,31960,2 часа назад,р-н Центральный,https://www.avito.ru//krasnodar/nastolnye_kompyutery/bitmayn_mayner_s9i_14ths_partiya_qrrs62sfqn_1713372220
131,Битмайн асик S9i 14Th/s ID устройства mxqf98qpkz,31960,3 часа назад,р-н Центральный,https://www.avito.ru//krasnodar/nastolnye_kompyutery/bitmayn_asik_s9i_14ths_id_ustroystva_mxqf98qpkz_1294467172
132,Мощный антмайнер S9i 14.5Th/s ID номер kshq67lhwj,30900,4 часа назад,р-н Центральный,https://www.avito.ru//krasnodar/nastolnye_kompyutery/moschnyy_antmayner_s9i_14.5ths_id_nomer_kshq67lhwj_1372752784
133,Мощный антмайнер S9i 14Th/s ID устройства ryyi70kv,31960,5 часов назад,р-н Центральный,https://www.avito.ru//krasnodar/nastolnye_kompyutery/moschnyy_antmayner_s9i_14ths_id_ustroystva_ryyi70kv_1701397310
134,Гарантия 3 года Майнер асик E3. Доставка по всей Р,120000,1 день назад,р-н Центральный,https://www.avito.ru//krasnodar/tovary_dlya_kompyutera/garantiya_3_goda_mayner_asik_e3._dostavka_po_vsey_r_1519206940
135,Битмайн асик S9i 14Th/s ID номер gfph08nrtd,31960,1 день назад,р-н Центральный,https://www.avito.ru//krasnodar/nastolnye_kompyutery/bitmayn_asik_s9i_14ths_id_nomer_gfph08nrtd_1091675251
136,Мощный майнер S9i 14.5Th/s партия zbkh61xsec,30900,1 день назад,р-н Центральный,https://www.avito.ru//krasnodar/nastolnye_kompyutery/moschnyy_mayner_s9i_14.5ths_partiya_zbkh61xsec_1703226636
137,Тайтсы легкоатлетические asics,2000,3 недели назад,р-н Центральный,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/taytsy_legkoatleticheskie_asics_487408050
138,Шиповки беговые asics,1000,3 недели назад,р-н Карасунский,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/shipovki_begovye_asics_1324736558
139,Кожаные кроссовки,900,1 день назад,р-н Прикубанский,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/kozhanye_krossovki_1407240260
140,Кроссовки Asics GelLyte III серые,2999,3 недели назад,р-н Центральный,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/krossovki_asics_gellyte_iii_serye_875215281
141,Битмайн антмайнер S9i 14.5Th/s партия dalw20xoms,30900,2 дня назад,р-н Центральный,https://www.avito.ru//krasnodar/nastolnye_kompyutery/bitmayn_antmayner_s9i_14.5ths_partiya_dalw20xoms_1353559367
142,Асик антмайнер S9i 14Th/s партия gsiu53inzu,31960,2 дня назад,р-н Центральный,https://www.avito.ru//krasnodar/nastolnye_kompyutery/asik_antmayner_s9i_14ths_partiya_gsiu53inzu_1502338028
143,Битмайн асик S9i 14Th/s серия gwct87riyz,31960,2 дня назад,р-н Центральный,https://www.avito.ru//krasnodar/nastolnye_kompyutery/bitmayn_asik_s9i_14ths_seriya_gwct87riyz_1297406470
144,Asic antimer d3,50000,3 недели назад,р-н Карасунский,https://www.avito.ru//krasnodar/tovary_dlya_kompyutera/asic_antimer_d3_1690194586
145,Асик антмайнер S9i 14.5Th/s серия dqfi79oyua,30900,2 дня назад,р-н Центральный,https://www.avito.ru//krasnodar/nastolnye_kompyutery/asik_antmayner_s9i_14.5ths_seriya_dqfi79oyua_1330845632
146,Асик майнер S9i 14Th/s ID устройства mlie38dryo,31960,2 дня назад,р-н Центральный,https://www.avito.ru//krasnodar/nastolnye_kompyutery/asik_mayner_s9i_14ths_id_ustroystva_mlie38dryo_1123932378
147,"Кроссовки Asics Gel Sight, 36-40р",3550,3 недели назад,р-н Центральный,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/krossovki_asics_gel_sight_36-40r_1341049435
148,Асик антмайнер S9i 14.5Th/s ID устройства dtje40ua,30900,2 дня назад,р-н Центральный,https://www.avito.ru//krasnodar/nastolnye_kompyutery/asik_antmayner_s9i_14.5ths_id_ustroystva_dtje40ua_1518691420
149,Мощный асик S9i 14Th/s ID устройства lmhr60nkrz,31960,2 дня назад,р-н Центральный,https://www.avito.ru//krasnodar/nastolnye_kompyutery/moschnyy_asik_s9i_14ths_id_ustroystva_lmhr60nkrz_1603846109
150,Мощный асик S9i 14.5Th/s партия qvpb74zwlb,30900,2 дня назад,р-н Центральный,https://www.avito.ru//krasnodar/nastolnye_kompyutery/moschnyy_asik_s9i_14.5ths_partiya_qvpb74zwlb_1235455846
151,Битмайн асик S9i 14.5Th/s ID номер cscl48bifs,30900,2 дня назад,р-н Центральный,https://www.avito.ru//krasnodar/nastolnye_kompyutery/bitmayn_asik_s9i_14.5ths_id_nomer_cscl48bifs_1081922098
152,Кроссовки подростковые,850,2 дня назад,р-н Прикубанский,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/krossovki_podrostkovye_1350567701
153,Asic Bitman Antminer Z9 mini,104000,3 недели назад,р-н Центральный,https://www.avito.ru//krasnodar/tovary_dlya_kompyutera/asic_bitman_antminer_z9_mini_1570390265
154,Асик майнер S9i 14Th/s серия efjv35zxno,31960,3 дня назад,р-н Центральный,https://www.avito.ru//krasnodar/nastolnye_kompyutery/asik_mayner_s9i_14ths_seriya_efjv35zxno_1149381353
155,Мощный антмайнер S9i 14.5Th/s партия trul70oczx,30900,3 дня назад,р-н Центральный,https://www.avito.ru//krasnodar/nastolnye_kompyutery/moschnyy_antmayner_s9i_14.5ths_partiya_trul70oczx_1621761637
156,Мощный майнер S9i 14.5Th/s ID устройства nnmk93wrt,30900,3 дня назад,р-н Центральный,https://www.avito.ru//krasnodar/nastolnye_kompyutery/moschnyy_mayner_s9i_14.5ths_id_ustroystva_nnmk93wrt_1615866333
157,Under Armour,700,3 дня назад,р-н Центральный,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/under_armour_978475613
158,Мощный асик S9i 14Th/s партия jzmj54vmro,31960,4 дня назад,р-н Центральный,https://www.avito.ru//krasnodar/nastolnye_kompyutery/moschnyy_asik_s9i_14ths_partiya_jzmj54vmro_1679153968
159,Асик майнер S9i 14Th/s ID устройства szoh87aviw,31960,3 дня назад,р-н Центральный,https://www.avito.ru//krasnodar/nastolnye_kompyutery/asik_mayner_s9i_14ths_id_ustroystva_szoh87aviw_1436569875
160,Мощный асик S9i 14Th/s ID устройства ibyx52oypt,31960,4 дня назад,р-н Центральный,https://www.avito.ru//krasnodar/nastolnye_kompyutery/moschnyy_asik_s9i_14ths_id_ustroystva_ibyx52oypt_1157238149
161,Мощный антмайнер S9i 14.5Th/s ID устройства jmng71,30900,4 дня назад,р-н Центральный,https://www.avito.ru//krasnodar/nastolnye_kompyutery/moschnyy_antmayner_s9i_14.5ths_id_ustroystva_jmng71_1526699045
162,Трико борцовское,1500,5 дней назад,р-н Центральный,https://www.avito.ru//krasnodar/sport_i_otdyh/triko_bortsovskoe_1426248306
163,Борцовское трико,1000,5 дней назад,р-н Центральный,https://www.avito.ru//krasnodar/sport_i_otdyh/bortsovskoe_triko_1220051782
164,"Обувь пакетом 4 пары детской обуви. Сандали, ботин",3500,5 дней назад,р-н Центральный,https://www.avito.ru//krasnodar/detskaya_odezhda_i_obuv/obuv_paketom_4_pary_detskoy_obuvi._sandali_botin_1091706188
165,Мощный антмайнер S9i 14Th/s ID номер anyd53mbww,31960,5 дней назад,р-н Центральный,https://www.avito.ru//krasnodar/nastolnye_kompyutery/moschnyy_antmayner_s9i_14ths_id_nomer_anyd53mbww_1479492430
166,Мощный асик S9i 14Th/s серия axpa40ixcg,31960,5 дней назад,р-н Центральный,https://www.avito.ru//krasnodar/nastolnye_kompyutery/moschnyy_asik_s9i_14ths_seriya_axpa40ixcg_1347266393
167,Битмайн антмайнер S9i 14Th/s партия ikwa17ksin,31960,5 дней назад,р-н Центральный,https://www.avito.ru//krasnodar/nastolnye_kompyutery/bitmayn_antmayner_s9i_14ths_partiya_ikwa17ksin_1219043897
168,Мощный антмайнер S9i 14.5Th/s партия hciz24xiit,30900,5 дней назад,р-н Центральный,https://www.avito.ru//krasnodar/nastolnye_kompyutery/moschnyy_antmayner_s9i_14.5ths_partiya_hciz24xiit_1248712191
169,"Asic Bitman Antminer S9i (14,5 TH)",46000,3 недели назад,р-н Центральный,https://www.avito.ru//krasnodar/tovary_dlya_kompyutera/asic_bitman_antminer_s9i_145_th_1310838884
170,Битмайн майнер S9i 14.5Th/s партия omwb81jthu,30900,6 дней назад,р-н Центральный,https://www.avito.ru//krasnodar/nastolnye_kompyutery/bitmayn_mayner_s9i_14.5ths_partiya_omwb81jthu_1106744965
171,Интернет Магазин Брендовых Кроссовок,100000,6 дней назад,р-н Центральный,https://www.avito.ru//krasnodar/gotoviy_biznes/internet_magazin_brendovyh_krossovok_1226538256
172,Битмайн майнер S9i 14Th/s партия blgp97zppa,31960,6 дней назад,р-н Центральный,https://www.avito.ru//krasnodar/nastolnye_kompyutery/bitmayn_mayner_s9i_14ths_partiya_blgp97zppa_1620004846
173,Кросовки для девочки,700,6 дней назад,р-н Центральный,https://www.avito.ru//krasnodar/detskaya_odezhda_i_obuv/krosovki_dlya_devochki_974165081
174,Битмайн майнер S9i 14Th/s ID номер iyfq24jsuh,31960,6 дней назад,р-н Центральный,https://www.avito.ru//krasnodar/nastolnye_kompyutery/bitmayn_mayner_s9i_14ths_id_nomer_iyfq24jsuh_1258028716
175,Асик майнер S9i 14Th/s ID устройства bgdi46ftld,31960,6 дней назад,р-н Центральный,https://www.avito.ru//krasnodar/nastolnye_kompyutery/asik_mayner_s9i_14ths_id_ustroystva_bgdi46ftld_986879127
176,Вентилятор PFC1212DE 5500 об./мин,522,6 дней назад,р-н Карасунский,https://www.avito.ru//krasnodar/tovary_dlya_kompyutera/ventilyator_pfc1212de_5500_ob.min_1645703491
177,Мощный майнер S9i 14.5Th/s ID устройства bllj39qil,30900,6 дней назад,р-н Центральный,https://www.avito.ru//krasnodar/nastolnye_kompyutery/moschnyy_mayner_s9i_14.5ths_id_ustroystva_bllj39qil_1352883467
178,Битмайн асик S9i 14Th/s партия umpn95oelc,31960,1 неделю назад,р-н Центральный,https://www.avito.ru//krasnodar/nastolnye_kompyutery/bitmayn_asik_s9i_14ths_partiya_umpn95oelc_987510218
179,Асик майнер S9i 14Th/s ID устройства lowo54zwid,31960,1 неделю назад,р-н Центральный,https://www.avito.ru//krasnodar/nastolnye_kompyutery/asik_mayner_s9i_14ths_id_ustroystva_lowo54zwid_1595782546
180,Кроссовки asics,600,3 недели назад,р-н Карасунский,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/krossovki_asics_1392092793
181,Мощный антмайнер S9i 14Th/s партия vlsj48rabp,31960,1 неделю назад,р-н Центральный,https://www.avito.ru//krasnodar/nastolnye_kompyutery/moschnyy_antmayner_s9i_14ths_partiya_vlsj48rabp_950597258
182,Асик антмайнер S9i 14.5Th/s партия gybd73qwgh,30900,1 неделю назад,р-н Центральный,https://www.avito.ru//krasnodar/nastolnye_kompyutery/asik_antmayner_s9i_14.5ths_partiya_gybd73qwgh_1389222818
183,Асик майнер S9i 14.5Th/s ID устройства zagg90fqmb,30900,1 неделю назад,р-н Центральный,https://www.avito.ru//krasnodar/nastolnye_kompyutery/asik_mayner_s9i_14.5ths_id_ustroystva_zagg90fqmb_959408404
184,Асики А3,55000,2 недели назад,р-н Центральный,https://www.avito.ru//krasnodar/nastolnye_kompyutery/asiki_a3_1104687284
185,Битмайн майнер S9i 14Th/s ID номер yiih62ohvv,31960,1 неделю назад,р-н Центральный,https://www.avito.ru//krasnodar/nastolnye_kompyutery/bitmayn_mayner_s9i_14ths_id_nomer_yiih62ohvv_1170520574
186,Женские кроссовки Asics Gel-Game 5 GS,3390,3 недели назад,р-н Центральный,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/zhenskie_krossovki_asics_gel-game_5_gs_1625949265
187,Иммерсионное охлаждение охлаждение 8-12-24майнеров,200000,1 неделю назад,р-н Западный,https://www.avito.ru//krasnodar/tovary_dlya_kompyutera/immersionnoe_ohlazhdenie_ohlazhdenie_8-12-24maynerov_1500901605
188,Кроссовки,2000,1 неделю назад,р-н Прикубанский,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/krossovki_1693154737
189,Битмайн антмайнер S9i 14Th/s серия uahe91glsf,31960,1 неделю назад,р-н Центральный,https://www.avito.ru//krasnodar/nastolnye_kompyutery/bitmayn_antmayner_s9i_14ths_seriya_uahe91glsf_1374080458
190,Битмайн майнер S9i 14Th/s серия cggj87pucl,31960,1 неделю назад,р-н Центральный,https://www.avito.ru//krasnodar/nastolnye_kompyutery/bitmayn_mayner_s9i_14ths_seriya_cggj87pucl_1357264523
191,Асик антмайнер S9i 14Th/s серия uzzb70mvdu,31960,1 неделю назад,р-н Центральный,https://www.avito.ru//krasnodar/nastolnye_kompyutery/asik_antmayner_s9i_14ths_seriya_uzzb70mvdu_1664116084
192,Мощный майнер S9i 14.5Th/s серия pakv89eybr,30900,1 неделю назад,р-н Центральный,https://www.avito.ru//krasnodar/nastolnye_kompyutery/moschnyy_mayner_s9i_14.5ths_seriya_pakv89eybr_1682985008
193,Мощный майнер S9i 14Th/s ID устройства zwcn21bxhs,31960,1 неделю назад,р-н Центральный,https://www.avito.ru//krasnodar/nastolnye_kompyutery/moschnyy_mayner_s9i_14ths_id_ustroystva_zwcn21bxhs_1163624338
194,Асик антмайнер S9i 14Th/s ID номер dlel47fzyl,31960,1 неделю назад,р-н Центральный,https://www.avito.ru//krasnodar/nastolnye_kompyutery/asik_antmayner_s9i_14ths_id_nomer_dlel47fzyl_1315054061
195,Кросовки Asics Outlast раз.46,5000,3 недели назад,р-н Западный,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/krosovki_asics_outlast_raz.46_1120321307
196,Битмайн асик S9i 14.5Th/s ID устройства hbgq26fkrx,30900,1 неделю назад,р-н Центральный,https://www.avito.ru//krasnodar/nastolnye_kompyutery/bitmayn_asik_s9i_14.5ths_id_ustroystva_hbgq26fkrx_1721107592
197,Мощный асик S9i 14.5Th/s серия wldu31uutc,30900,1 неделю назад,р-н Центральный,https://www.avito.ru//krasnodar/nastolnye_kompyutery/moschnyy_asik_s9i_14.5ths_seriya_wldu31uutc_1300887189
198,Битмайн майнер S9i 14.5Th/s ID устройства yljc48fh,30900,1 неделю назад,р-н Центральный,https://www.avito.ru//krasnodar/nastolnye_kompyutery/bitmayn_mayner_s9i_14.5ths_id_ustroystva_yljc48fh_1474692505
199,Кроссовки Asics GT-2160,1000,3 недели назад,р-н Карасунский,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/krossovki_asics_gt-2160_1609930046
200,Мощный асик S9i 14.5Th/s партия cjnv07xmtm,30900,1 неделю назад,р-н Центральный,https://www.avito.ru//krasnodar/nastolnye_kompyutery/moschnyy_asik_s9i_14.5ths_partiya_cjnv07xmtm_1496942176
201,Асик антмайнер S9i 14Th/s партия uqob25zebc,31960,1 неделю назад,р-н Центральный,https://www.avito.ru//krasnodar/nastolnye_kompyutery/asik_antmayner_s9i_14ths_partiya_uqob25zebc_1500869451
202,Asic S9i 14Th/s серия qvwl96vpws,33900,18 сентября 17:45,р-н Центральный,https://www.avito.ru//krasnodar/nastolnye_kompyutery/asic_s9i_14ths_seriya_qvwl96vpws_1550843881
203,Мощный майнер S9i 14.5Th/s партия zipv07glxy,30900,2 недели назад,р-н Центральный,https://www.avito.ru//krasnodar/nastolnye_kompyutery/moschnyy_mayner_s9i_14.5ths_partiya_zipv07glxy_1449759137
204,Asic innosilicon A8+,95000,18 сентября 16:41,р-н Западный,https://www.avito.ru//krasnodar/nastolnye_kompyutery/asic_innosilicon_a8_1014862580
205,Битмайн асик S9i 14Th/s серия jlfe00jfwz,31960,2 недели назад,р-н Центральный,https://www.avito.ru//krasnodar/nastolnye_kompyutery/bitmayn_asik_s9i_14ths_seriya_jlfe00jfwz_1148143229
206,Antminer Z9 mini реально в наличии,75990,2 недели назад,р-н Центральный,https://www.avito.ru//krasnodar/nastolnye_kompyutery/antminer_z9_mini_realno_v_nalichii_1310267960
207,"Кроссовки Asics Gel-Beyond 5, 7-13 US",6690,3 недели назад,р-н Центральный,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/krossovki_asics_gel-beyond_5_7-13_us_1653620891
208,Толстовка мужская Asics,1500,3 недели назад,р-н Прикубанский,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/tolstovka_muzhskaya_asics_888166123
209,Звукоизолирующий бокс для asic майнеров,4500,3 недели назад,р-н Центральный,https://www.avito.ru//krasnodar/tovary_dlya_kompyutera/zvukoizoliruyuschiy_boks_dlya_asic_maynerov_1641866360
210,Майнинг Отель в Краснодаре,Цена не указана,2 недели назад,"
       (р-н Прикубанский)
    ",https://www.avito.ru//krasnodar/predlozheniya_uslug/mayning_otel_v_krasnodare_1293042438
211,Спортивная одежда и обувь,Цена не указана,2 недели назад,Район не указан,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/sportivnaya_odezhda_i_obuv_1324205499
212,Борцовки asics Split Second б/у,1000,3 недели назад,р-н Центральный,https://www.avito.ru//krasnodar/sport_i_otdyh/bortsovki_asics_split_second_bu_1194040135
213,"Кроссовки Asics Gel Sight, 36-40р",3550,3 недели назад,р-н Центральный,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/krossovki_asics_gel_sight_36-40r_1661679576
214,Кроссовки Asics Gel,1990,3 недели назад,р-н Прикубанский,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/krossovki_asics_gel_556363646
215,Трико,2500,2 недели назад,р-н Центральный,https://www.avito.ru//krasnodar/sport_i_otdyh/triko_1117881708
216,Борцовки,3800,2 недели назад,р-н Центральный,https://www.avito.ru//krasnodar/sport_i_otdyh/bortsovki_1033129954
217,Костюм спортивный Asics,1500,3 недели назад,р-н Карасунский,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/kostyum_sportivnyy_asics_1076451299
218,Борцовки/Самбовки,2000,2 недели назад,р-н Прикубанский,https://www.avito.ru//krasnodar/sport_i_otdyh/bortsovkisambovki_1424873412
219,Кроссовки Asics Gel Lyte 5 фирменные арт.2784,2000,3 недели назад,р-н Прикубанский,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/krossovki_asics_gel_lyte_5_firmennye_art.2784_1705947914
220,Кроссовки Asics GelLyte V чёрные,2999,3 недели назад,р-н Центральный,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/krossovki_asics_gellyte_v_chernye_886604227
221,Кроссовки теннисные детские,3500,2 недели назад,р-н Прикубанский,https://www.avito.ru//krasnodar/detskaya_odezhda_i_obuv/krossovki_tennisnye_detskie_930137876
222,Продам asic antminer L3+ с б/п,30000,18 сентября 13:36,р-н Прикубанский,https://www.avito.ru//krasnodar/tovary_dlya_kompyutera/prodam_asic_antminer_l3_s_bp_1589970347
223,Кроссовки мужские asics,1499,18 сентября 17:30,р-н Прикубанский,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/krossovki_muzhskie_asics_1609484184
224,Серверные блоки питания для майнинга,2499,2 недели назад,р-н Центральный,https://www.avito.ru//krasnodar/oborudovanie_dlya_biznesa/servernye_bloki_pitaniya_dlya_mayninga_1548835785
225,Тельняшки теплые и много фирменных вещей,500,2 недели назад,р-н Карасунский,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/telnyashki_teplye_i_mnogo_firmennyh_veschey_1613179246
226,Кроссовки детские Asics размер K6 (22.5),900,18 сентября 13:40,р-н Центральный,https://www.avito.ru//krasnodar/detskaya_odezhda_i_obuv/krossovki_detskie_asics_razmer_k6_22.5_1347987229
227,"Много пар фирменной обуви,не хлам",1500,3 недели назад,р-н Карасунский,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/mnogo_par_firmennoy_obuvine_hlam_1469112505
228,Контейнер для майнинга,1950000,3 недели назад,р-н Центральный,https://www.avito.ru//krasnodar/oborudovanie_dlya_biznesa/konteyner_dlya_mayninga_1215338604
229,Майнинг отель,Цена не указана,3 недели назад,"
       (р-н Центральный)
    ",https://www.avito.ru//krasnodar/predlozheniya_uslug/mayning_otel_1452512341
230,Antminer A3,20000,3 недели назад,р-н Центральный,https://www.avito.ru//krasnodar/tovary_dlya_kompyutera/antminer_a3_1638388672
231,Брюки asics,500,17 сентября 17:52,р-н Прикубанский,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/bryuki_asics_1006645832
232,Шиповки,4000,3 недели назад,р-н Прикубанский,https://www.avito.ru//krasnodar/sport_i_otdyh/shipovki_1427439642
233,Кроссовки asics,1500,17 сентября 10:49,р-н Прикубанский,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/krossovki_asics_1233289372
234,Майнинг отель,1500,3 недели назад,"
       (р-н Центральный)
    ",https://www.avito.ru//krasnodar/predlozheniya_uslug/mayning_otel_1028051756
235,Серверный блок питания IBM 2980W Артикул 00099,9000,3 недели назад,р-н Центральный,https://www.avito.ru//krasnodar/tovary_dlya_kompyutera/servernyy_blok_pitaniya_ibm_2980w_artikul_00099_1491071764
236,Все для настольного тенниса,Цена не указана,17 сентября 17:47,р-н Центральный,https://www.avito.ru//krasnodar/sport_i_otdyh/vse_dlya_nastolnogo_tennisa_911947033
237,Бейсболки отличное состояние,400,17 сентября 10:27,р-н Прикубанский,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/beysbolki_otlichnoe_sostoyanie_1471650656
